,exploration,adv_courses,Group,Area,Colab,Exp,Resouce,extracurriculars,help_others,confidence,feedback,communication,hours,class
513,No,No,Yes,NLP,Independent,1,Study Group,2,8,4,Written,Enjoy Communicating,5,Beginner
514,Yes,Yes,Yes,Deep Learning,Independent,10,Online,7,10,9,Written,Dislike,6,Beginner
515,No,Yes,Yes,Deep Learning,Dislike,5,Peer Discussion,3,7,6,Verbal,Enjoy Communicating,7,Intermediate
516,No,Yes,Yes,Deep Learning,Dislike,8,Study Group,3,3,6,Verbal,Neutral,7,Professional
517,Yes,Yes,Yes,Deep Learning,Dislike,9,Online,8,2,2,Verbal,Dislike,7,Professional
518,No,Yes,No,Data Analysis,Neutral,3,Online,3,1,2,Verbal,Dislike,6,Intermediate
519,Yes,No,No,NLP,Dislike,10,TextBook,1,8,7,Written,Neutral,9,Professional
520,No,Yes,No,NLP,Highly Collaborative,10,Peer Discussion,1,4,4,Verbal,Dislike,8,Beginner
521,No,Yes,Yes,Data Analysis,Neutral,9,Peer Discussion,4,6,7,Written,Enjoy Communicating,3,Advanced
522,Yes,Yes,No,Deep Learning,Dislike,3,Study Group,4,7,6,Verbal,Dislike,9,Advanced
523,No,Yes,Yes,NLP,Dislike,6,Peer Discussion,1,4,1,Written,Enjoy Communicating,2,Intermediate
524,Yes,Yes,Yes,NLP,Dislike,5,TextBook,3,7,5,Verbal,Enjoy Communicating,1,Professional
525,No,Yes,Yes,Deep Learning,Independent,8,Peer Discussion,7,8,4,Verbal,Enjoy Communicating,9,Intermediate
526,No,No,No,Computer Vision,Neutral,4,Study Group,3,10,5,Written,Neutral,2,Beginner
527,Yes,No,No,Computer Vision,Highly Collaborative,4,Peer Discussion,5,9,9,Verbal,Neutral,7,Intermediate
528,Yes,No,Yes,Deep Learning,Independent,6,Online,10,4,4,Verbal,Neutral,7,Beginner
529,Yes,No,No,Data Analysis,Highly Collaborative,1,TextBook,5,8,2,Written,Dislike,9,Beginner
530,No,No,No,Deep Learning,Neutral,4,TextBook,8,8,10,Verbal,Dislike,3,Advanced
531,No,Yes,No,NLP,Independent,6,Study Group,9,9,5,Written,Neutral,4,Beginner
532,Yes,No,No,Data Analysis,Neutral,7,Peer Discussion,3,1,6,Verbal,Enjoy Communicating,10,Beginner
533,No,No,No,Computer Vision,Neutral,5,TextBook,5,3,3,Verbal,Enjoy Communicating,8,Intermediate
534,No,Yes,No,NLP,Highly Collaborative,4,Study Group,7,5,8,Written,Neutral,7,Beginner
535,No,Yes,No,Data Analysis,Highly Collaborative,10,Study Group,7,4,10,Written,Neutral,10,Intermediate
536,Yes,No,No,NLP,Independent,8,Online,6,8,10,Verbal,Neutral,9,Intermediate
537,Yes,Yes,Yes,Deep Learning,Independent,10,Study Group,7,2,8,Verbal,Enjoy Communicating,5,Advanced
538,Yes,Yes,Yes,Computer Vision,Independent,1,Peer Discussion,3,2,4,Verbal,Neutral,3,Beginner
539,No,No,No,NLP,Neutral,10,TextBook,5,3,8,Verbal,Neutral,5,Beginner
540,No,Yes,Yes,Deep Learning,Independent,7,Study Group,3,4,9,Verbal,Neutral,9,Beginner
541,Yes,No,Yes,Computer Vision,Dislike,10,Online,6,10,10,Written,Dislike,5,Advanced
542,No,Yes,Yes,Computer Vision,Independent,1,TextBook,10,3,7,Verbal,Enjoy Communicating,3,Beginner
543,Yes,Yes,No,NLP,Independent,9,TextBook,6,3,2,Written,Neutral,2,Advanced
544,No,No,No,NLP,Independent,2,Study Group,9,5,10,Written,Enjoy Communicating,9,Beginner
545,Yes,Yes,No,Deep Learning,Highly Collaborative,6,Peer Discussion,3,3,1,Written,Dislike,4,Advanced
546,Yes,Yes,No,NLP,Dislike,4,Peer Discussion,7,2,7,Verbal,Dislike,2,Beginner
547,Yes,Yes,Yes,Deep Learning,Independent,5,Study Group,6,9,3,Written,Enjoy Communicating,4,Beginner
548,Yes,No,Yes,Computer Vision,Neutral,10,Peer Discussion,2,8,3,Written,Neutral,7,Beginner
549,No,No,Yes,Computer Vision,Highly Collaborative,3,Peer Discussion,3,8,9,Verbal,Neutral,6,Advanced
550,Yes,No,No,Computer Vision,Neutral,10,Online,10,10,4,Verbal,Enjoy Communicating,8,Advanced
551,No,No,No,Computer Vision,Highly Collaborative,1,Online,4,6,4,Verbal,Enjoy Communicating,4,Advanced
552,No,No,Yes,Data Analysis,Highly Collaborative,4,Peer Discussion,9,7,7,Verbal,Neutral,7,Beginner
553,No,Yes,No,Deep Learning,Neutral,5,Study Group,7,8,3,Verbal,Enjoy Communicating,9,Advanced
554,Yes,Yes,Yes,Computer Vision,Neutral,8,Study Group,5,1,7,Verbal,Enjoy Communicating,3,Professional
555,No,Yes,Yes,Data Analysis,Independent,7,Study Group,7,8,7,Written,Dislike,5,Professional
556,No,No,Yes,NLP,Dislike,8,Online,4,7,8,Written,Enjoy Communicating,1,Intermediate
557,Yes,No,Yes,NLP,Dislike,9,Peer Discussion,3,4,6,Written,Enjoy Communicating,10,Professional
558,Yes,Yes,No,Computer Vision,Dislike,8,Study Group,1,3,10,Written,Dislike,1,Beginner
559,Yes,No,Yes,Data Analysis,Neutral,9,TextBook,5,5,8,Verbal,Neutral,7,Intermediate
560,No,No,Yes,Computer Vision,Highly Collaborative,3,TextBook,6,2,7,Verbal,Dislike,1,Advanced
561,Yes,No,Yes,Deep Learning,Independent,7,TextBook,5,4,4,Verbal,Enjoy Communicating,4,Professional
562,Yes,No,No,NLP,Independent,3,Online,1,6,7,Verbal,Dislike,4,Beginner
563,No,No,No,Data Analysis,Neutral,1,Peer Discussion,6,6,8,Verbal,Dislike,1,Intermediate
564,Yes,No,No,Computer Vision,Dislike,8,Study Group,5,3,2,Verbal,Enjoy Communicating,4,Advanced
565,Yes,No,Yes,Deep Learning,Neutral,6,Study Group,4,7,4,Written,Dislike,1,Beginner
566,Yes,No,Yes,Computer Vision,Independent,2,TextBook,1,8,1,Verbal,Enjoy Communicating,4,Intermediate
567,Yes,No,No,Deep Learning,Neutral,3,Peer Discussion,9,9,7,Written,Dislike,9,Professional
568,Yes,No,No,Computer Vision,Independent,2,Peer Discussion,3,6,6,Verbal,Enjoy Communicating,2,Intermediate
569,Yes,No,Yes,Data Analysis,Highly Collaborative,3,TextBook,10,10,9,Verbal,Dislike,9,Professional
570,Yes,Yes,Yes,Deep Learning,Neutral,5,Peer Discussion,8,8,6,Verbal,Enjoy Communicating,7,Advanced
571,No,Yes,No,Computer Vision,Independent,8,Study Group,10,9,4,Verbal,Dislike,7,Professional
572,No,No,Yes,Deep Learning,Dislike,7,Study Group,9,3,2,Verbal,Enjoy Communicating,5,Advanced
573,No,Yes,Yes,NLP,Independent,4,Study Group,7,3,5,Written,Enjoy Communicating,8,Professional
574,Yes,Yes,Yes,Deep Learning,Highly Collaborative,4,Study Group,9,4,6,Written,Enjoy Communicating,8,Professional
575,No,Yes,Yes,Deep Learning,Neutral,2,TextBook,4,7,8,Written,Neutral,10,Beginner
576,No,No,Yes,Deep Learning,Dislike,1,Peer Discussion,7,1,3,Verbal,Neutral,8,Beginner
577,Yes,No,No,Computer Vision,Dislike,2,Study Group,6,1,8,Verbal,Neutral,8,Beginner
578,Yes,No,Yes,Data Analysis,Highly Collaborative,4,TextBook,1,2,8,Verbal,Neutral,7,Professional
579,No,Yes,No,Data Analysis,Dislike,9,Study Group,5,9,3,Written,Enjoy Communicating,1,Advanced
580,No,No,Yes,Deep Learning,Highly Collaborative,6,TextBook,9,2,1,Written,Enjoy Communicating,10,Beginner
581,Yes,No,Yes,Deep Learning,Dislike,1,TextBook,3,6,10,Written,Enjoy Communicating,4,Professional
582,No,No,Yes,Data Analysis,Dislike,2,Study Group,10,9,1,Verbal,Neutral,10,Intermediate
583,Yes,Yes,Yes,Data Analysis,Neutral,7,Study Group,7,9,4,Written,Enjoy Communicating,1,Intermediate
584,Yes,Yes,No,Computer Vision,Neutral,1,TextBook,1,8,9,Verbal,Enjoy Communicating,10,Beginner
585,Yes,Yes,No,Computer Vision,Independent,1,TextBook,4,10,6,Verbal,Enjoy Communicating,2,Professional
586,Yes,Yes,No,NLP,Neutral,8,Online,6,8,7,Verbal,Dislike,7,Beginner
587,No,Yes,Yes,Computer Vision,Dislike,1,Online,10,10,5,Verbal,Dislike,2,Advanced
588,No,No,No,NLP,Highly Collaborative,9,Online,4,7,4,Verbal,Dislike,8,Advanced
589,No,Yes,No,Data Analysis,Highly Collaborative,6,Peer Discussion,8,10,1,Verbal,Dislike,7,Beginner
590,No,No,No,Deep Learning,Dislike,10,TextBook,8,3,5,Written,Enjoy Communicating,1,Advanced
591,Yes,Yes,Yes,Deep Learning,Dislike,10,Online,2,10,3,Verbal,Enjoy Communicating,3,Advanced
592,No,No,No,Data Analysis,Highly Collaborative,10,Study Group,3,3,1,Written,Enjoy Communicating,4,Advanced
593,No,No,Yes,Computer Vision,Neutral,6,Online,4,3,4,Verbal,Enjoy Communicating,7,Professional
594,No,Yes,Yes,Computer Vision,Dislike,4,TextBook,1,4,7,Written,Dislike,5,Beginner
595,Yes,Yes,Yes,Data Analysis,Neutral,7,Study Group,2,10,4,Verbal,Neutral,7,Beginner
596,Yes,No,No,Data Analysis,Neutral,7,Study Group,10,4,6,Verbal,Dislike,4,Professional
597,Yes,Yes,No,Data Analysis,Independent,7,Study Group,8,3,9,Written,Enjoy Communicating,10,Beginner
598,No,No,No,Computer Vision,Independent,2,Peer Discussion,3,2,1,Verbal,Enjoy Communicating,6,Intermediate
599,Yes,Yes,Yes,NLP,Neutral,8,TextBook,9,3,1,Written,Enjoy Communicating,10,Professional
600,Yes,No,Yes,Deep Learning,Dislike,1,Peer Discussion,2,3,3,Verbal,Enjoy Communicating,4,Professional
601,No,Yes,No,Deep Learning,Independent,1,Study Group,7,1,9,Verbal,Neutral,6,Professional
602,Yes,No,No,Deep Learning,Dislike,7,Study Group,6,10,2,Verbal,Enjoy Communicating,9,Beginner
603,No,Yes,Yes,Data Analysis,Dislike,5,Study Group,4,3,4,Verbal,Dislike,1,Intermediate
604,No,Yes,Yes,NLP,Independent,10,Study Group,4,6,5,Written,Enjoy Communicating,1,Advanced
605,Yes,Yes,Yes,NLP,Neutral,5,Online,8,8,9,Written,Dislike,3,Beginner
606,Yes,No,Yes,Data Analysis,Neutral,9,Peer Discussion,10,3,6,Written,Dislike,2,Professional
607,Yes,Yes,Yes,NLP,Independent,3,Peer Discussion,2,9,3,Verbal,Dislike,10,Beginner
608,Yes,No,No,Computer Vision,Neutral,3,TextBook,7,5,6,Verbal,Enjoy Communicating,5,Advanced
609,No,Yes,Yes,Data Analysis,Neutral,2,Peer Discussion,6,5,5,Written,Enjoy Communicating,1,Intermediate
610,No,Yes,Yes,Computer Vision,Neutral,6,TextBook,7,1,10,Verbal,Enjoy Communicating,5,Intermediate
611,No,Yes,No,Computer Vision,Independent,7,Online,10,8,1,Written,Dislike,6,Intermediate
612,No,No,No,Deep Learning,Highly Collaborative,3,TextBook,3,9,1,Written,Dislike,3,Professional
613,No,No,No,NLP,Dislike,10,Study Group,3,1,8,Verbal,Neutral,1,Intermediate
614,Yes,No,No,NLP,Dislike,5,Online,2,4,9,Written,Dislike,3,Professional
615,No,No,Yes,NLP,Independent,8,Peer Discussion,1,3,6,Verbal,Dislike,4,Professional
616,Yes,Yes,Yes,Data Analysis,Neutral,3,Online,9,2,4,Verbal,Dislike,5,Professional
617,No,Yes,Yes,Data Analysis,Highly Collaborative,8,Online,6,10,8,Written,Enjoy Communicating,10,Advanced
618,No,Yes,No,Deep Learning,Independent,10,Peer Discussion,7,10,3,Verbal,Neutral,10,Beginner
619,Yes,No,Yes,Data Analysis,Neutral,7,Online,9,5,5,Written,Enjoy Communicating,3,Beginner
620,No,No,Yes,Data Analysis,Neutral,2,TextBook,2,7,10,Verbal,Dislike,9,Beginner
621,Yes,No,Yes,Deep Learning,Highly Collaborative,9,Peer Discussion,9,4,5,Verbal,Dislike,9,Professional
622,Yes,Yes,No,Deep Learning,Highly Collaborative,4,Study Group,10,6,3,Written,Enjoy Communicating,7,Professional
623,No,Yes,No,Deep Learning,Highly Collaborative,3,Study Group,1,2,8,Verbal,Dislike,1,Beginner
624,Yes,Yes,No,NLP,Dislike,3,Online,1,3,4,Written,Dislike,4,Professional
625,No,Yes,No,NLP,Neutral,5,Online,9,1,5,Written,Enjoy Communicating,3,Intermediate
626,Yes,No,No,Deep Learning,Dislike,5,Online,8,5,9,Written,Enjoy Communicating,10,Professional
627,No,Yes,No,NLP,Dislike,9,Online,5,10,6,Written,Neutral,6,Advanced
628,Yes,Yes,Yes,NLP,Dislike,3,Peer Discussion,8,8,10,Written,Enjoy Communicating,7,Beginner
629,Yes,Yes,Yes,NLP,Neutral,1,Study Group,2,10,10,Written,Dislike,5,Intermediate
630,Yes,No,No,Data Analysis,Neutral,2,TextBook,6,3,7,Written,Dislike,7,Advanced
631,No,No,Yes,Deep Learning,Highly Collaborative,1,TextBook,1,4,7,Written,Dislike,4,Intermediate
632,No,Yes,No,Computer Vision,Dislike,2,Peer Discussion,7,5,5,Written,Dislike,8,Advanced
633,No,No,No,Computer Vision,Independent,4,Study Group,2,3,9,Written,Neutral,6,Intermediate
634,No,No,Yes,Deep Learning,Dislike,6,Online,7,8,9,Written,Enjoy Communicating,9,Professional
635,Yes,No,No,Deep Learning,Highly Collaborative,9,Study Group,8,2,5,Written,Enjoy Communicating,7,Intermediate
636,No,No,No,NLP,Dislike,6,Study Group,8,10,2,Verbal,Dislike,8,Professional
637,No,No,Yes,Computer Vision,Dislike,10,TextBook,3,3,2,Verbal,Enjoy Communicating,2,Beginner
638,No,Yes,No,Computer Vision,Highly Collaborative,4,Study Group,4,5,6,Verbal,Neutral,2,Advanced
639,Yes,Yes,No,Deep Learning,Independent,1,Study Group,3,5,10,Written,Dislike,3,Advanced
640,Yes,No,No,Deep Learning,Neutral,2,Study Group,4,7,4,Written,Neutral,9,Intermediate
641,No,No,No,NLP,Dislike,6,TextBook,1,10,9,Written,Enjoy Communicating,6,Intermediate
642,Yes,Yes,No,Computer Vision,Dislike,2,TextBook,5,7,5,Verbal,Dislike,2,Professional
643,No,No,Yes,Computer Vision,Neutral,1,Study Group,5,7,5,Written,Enjoy Communicating,9,Professional
644,Yes,No,Yes,Computer Vision,Dislike,7,TextBook,9,7,9,Written,Neutral,9,Beginner
645,No,Yes,Yes,Data Analysis,Neutral,10,Peer Discussion,6,1,5,Written,Neutral,4,Beginner
646,No,No,No,Deep Learning,Dislike,5,Peer Discussion,7,6,8,Verbal,Enjoy Communicating,7,Beginner
647,Yes,Yes,No,NLP,Neutral,4,Online,2,6,3,Verbal,Dislike,3,Beginner
648,No,Yes,No,Computer Vision,Dislike,4,Online,4,3,10,Written,Dislike,1,Advanced
649,Yes,No,Yes,NLP,Highly Collaborative,5,Study Group,10,5,10,Written,Dislike,4,Advanced
650,Yes,No,No,NLP,Neutral,1,TextBook,7,6,2,Verbal,Dislike,3,Beginner
651,No,No,Yes,NLP,Dislike,7,Study Group,5,4,7,Written,Dislike,5,Beginner
652,Yes,Yes,Yes,Data Analysis,Independent,9,TextBook,7,10,10,Verbal,Enjoy Communicating,6,Beginner
653,Yes,No,No,Deep Learning,Highly Collaborative,8,Study Group,6,3,7,Verbal,Dislike,3,Beginner
654,No,No,Yes,Computer Vision,Neutral,9,Study Group,2,9,10,Written,Dislike,6,Professional
655,Yes,No,Yes,NLP,Highly Collaborative,8,Online,9,10,7,Verbal,Dislike,10,Professional
656,Yes,Yes,No,Deep Learning,Independent,9,Study Group,4,1,3,Verbal,Neutral,6,Beginner
657,Yes,Yes,Yes,Computer Vision,Independent,7,Peer Discussion,4,9,6,Verbal,Enjoy Communicating,1,Professional
658,No,No,Yes,Data Analysis,Dislike,6,Online,4,4,6,Verbal,Neutral,6,Advanced
659,No,Yes,No,Data Analysis,Independent,5,Study Group,4,8,1,Written,Neutral,8,Professional
660,No,Yes,No,Deep Learning,Highly Collaborative,9,Study Group,9,7,6,Verbal,Neutral,3,Advanced
661,Yes,No,Yes,Deep Learning,Neutral,1,Study Group,3,2,8,Written,Dislike,2,Professional
662,No,No,No,Computer Vision,Neutral,1,TextBook,2,10,2,Verbal,Dislike,7,Beginner
663,No,No,No,Computer Vision,Highly Collaborative,4,Peer Discussion,2,3,3,Written,Neutral,9,Professional
664,No,Yes,Yes,Computer Vision,Highly Collaborative,6,TextBook,6,4,7,Verbal,Dislike,7,Advanced
665,Yes,Yes,No,Computer Vision,Independent,5,TextBook,3,10,8,Written,Neutral,10,Advanced
666,Yes,Yes,Yes,Computer Vision,Neutral,3,Online,2,10,8,Written,Enjoy Communicating,1,Intermediate
667,No,No,Yes,Computer Vision,Neutral,1,TextBook,5,7,8,Verbal,Neutral,2,Intermediate
668,No,No,No,Computer Vision,Highly Collaborative,8,TextBook,8,7,8,Verbal,Dislike,1,Professional
669,Yes,Yes,Yes,Data Analysis,Neutral,4,Study Group,4,9,4,Verbal,Neutral,1,Professional
670,No,Yes,No,Computer Vision,Neutral,3,Peer Discussion,7,3,10,Verbal,Neutral,8,Intermediate
671,No,Yes,No,Computer Vision,Independent,4,Online,3,7,8,Written,Neutral,3,Professional
672,No,Yes,No,Deep Learning,Independent,9,Study Group,8,9,5,Verbal,Neutral,6,Professional
673,Yes,Yes,No,Computer Vision,Dislike,1,Online,6,8,9,Verbal,Neutral,6,Intermediate
674,Yes,Yes,Yes,Deep Learning,Neutral,10,Online,1,2,1,Written,Dislike,10,Professional
675,Yes,No,Yes,Data Analysis,Dislike,3,Study Group,8,2,2,Written,Enjoy Communicating,7,Professional
676,No,Yes,No,NLP,Dislike,2,Peer Discussion,6,4,2,Verbal,Neutral,6,Intermediate
677,No,No,Yes,Deep Learning,Neutral,5,Study Group,10,10,1,Verbal,Enjoy Communicating,8,Advanced
678,No,Yes,No,Deep Learning,Neutral,9,Online,9,6,7,Written,Dislike,2,Beginner
679,Yes,No,Yes,Deep Learning,Independent,3,Peer Discussion,9,1,5,Written,Enjoy Communicating,10,Advanced
680,Yes,Yes,Yes,Computer Vision,Highly Collaborative,2,TextBook,4,7,1,Written,Neutral,7,Advanced
681,No,Yes,No,Deep Learning,Neutral,10,Peer Discussion,2,5,7,Verbal,Neutral,6,Intermediate
682,Yes,Yes,Yes,Data Analysis,Independent,2,Study Group,6,1,1,Verbal,Dislike,9,Advanced
683,Yes,No,Yes,NLP,Highly Collaborative,1,Online,2,3,4,Written,Enjoy Communicating,7,Intermediate
684,No,Yes,No,Computer Vision,Highly Collaborative,6,Peer Discussion,7,4,8,Written,Enjoy Communicating,6,Advanced
685,Yes,Yes,Yes,Computer Vision,Neutral,2,TextBook,4,10,9,Verbal,Dislike,2,Advanced
686,No,Yes,No,NLP,Dislike,10,Peer Discussion,7,5,5,Verbal,Neutral,5,Intermediate
687,No,Yes,No,NLP,Neutral,2,TextBook,7,1,1,Verbal,Dislike,6,Advanced
688,Yes,Yes,Yes,Computer Vision,Highly Collaborative,10,Study Group,9,10,7,Written,Dislike,5,Beginner
689,Yes,Yes,Yes,Data Analysis,Independent,8,Peer Discussion,9,3,1,Verbal,Enjoy Communicating,3,Professional
690,No,Yes,No,Data Analysis,Highly Collaborative,6,TextBook,10,4,1,Written,Dislike,4,Advanced
691,Yes,Yes,Yes,Computer Vision,Neutral,9,Online,10,10,5,Written,Enjoy Communicating,5,Advanced
692,Yes,Yes,Yes,Computer Vision,Independent,6,Online,8,6,7,Written,Dislike,5,Advanced
693,No,Yes,No,Data Analysis,Highly Collaborative,6,Study Group,6,7,4,Verbal,Neutral,6,Intermediate
694,Yes,Yes,No,Deep Learning,Independent,8,Peer Discussion,3,9,6,Written,Neutral,1,Advanced
695,Yes,Yes,No,Computer Vision,Neutral,6,Study Group,2,4,6,Written,Dislike,2,Intermediate
696,No,No,No,NLP,Highly Collaborative,8,Online,1,8,1,Written,Neutral,1,Beginner
697,No,Yes,No,NLP,Dislike,1,Study Group,10,7,5,Written,Neutral,9,Intermediate
698,No,No,Yes,NLP,Dislike,4,Online,9,3,5,Verbal,Enjoy Communicating,7,Beginner
699,Yes,Yes,No,Data Analysis,Dislike,10,Study Group,1,6,3,Written,Neutral,5,Intermediate
700,Yes,No,No,Computer Vision,Independent,9,Peer Discussion,7,10,1,Written,Enjoy Communicating,10,Intermediate
701,Yes,No,Yes,NLP,Dislike,10,Online,6,1,2,Written,Neutral,10,Advanced
702,No,Yes,Yes,Computer Vision,Dislike,9,Online,2,8,10,Written,Dislike,3,Advanced
703,Yes,Yes,No,Data Analysis,Highly Collaborative,10,Online,10,4,3,Verbal,Dislike,3,Intermediate
704,No,No,No,NLP,Independent,5,Study Group,3,9,8,Written,Neutral,4,Advanced
705,Yes,Yes,Yes,Deep Learning,Neutral,7,TextBook,3,1,2,Verbal,Enjoy Communicating,8,Beginner
706,No,No,No,Computer Vision,Highly Collaborative,6,Peer Discussion,10,10,10,Written,Neutral,4,Intermediate
707,Yes,Yes,Yes,NLP,Neutral,4,Peer Discussion,6,4,5,Written,Enjoy Communicating,2,Advanced
708,No,No,Yes,Deep Learning,Highly Collaborative,1,TextBook,6,3,8,Written,Dislike,8,Beginner
709,No,No,Yes,Computer Vision,Highly Collaborative,10,TextBook,10,6,4,Verbal,Dislike,4,Intermediate
710,Yes,No,Yes,NLP,Neutral,10,Study Group,1,8,7,Verbal,Enjoy Communicating,8,Advanced
711,Yes,No,No,Computer Vision,Highly Collaborative,7,Study Group,6,2,8,Verbal,Dislike,5,Intermediate
712,No,Yes,No,Data Analysis,Neutral,5,Peer Discussion,2,6,10,Verbal,Neutral,3,Intermediate
713,Yes,No,No,Deep Learning,Highly Collaborative,4,Online,5,10,6,Written,Neutral,2,Professional
714,Yes,Yes,No,Computer Vision,Highly Collaborative,6,TextBook,6,10,2,Verbal,Enjoy Communicating,7,Beginner
715,No,No,No,NLP,Independent,1,Peer Discussion,7,10,10,Written,Enjoy Communicating,8,Beginner
716,Yes,Yes,Yes,Computer Vision,Highly Collaborative,1,Online,10,6,4,Verbal,Neutral,10,Professional
717,No,Yes,Yes,NLP,Highly Collaborative,3,Online,7,5,1,Written,Enjoy Communicating,9,Beginner
718,Yes,No,Yes,Computer Vision,Neutral,6,Peer Discussion,2,6,6,Written,Enjoy Communicating,3,Advanced
719,Yes,Yes,No,Computer Vision,Independent,7,TextBook,6,5,7,Written,Enjoy Communicating,8,Professional
720,Yes,Yes,No,Computer Vision,Highly Collaborative,10,Peer Discussion,4,5,2,Verbal,Dislike,10,Professional
721,Yes,No,Yes,NLP,Dislike,8,Online,7,6,6,Written,Dislike,3,Beginner
722,Yes,No,Yes,NLP,Dislike,10,Peer Discussion,9,10,2,Verbal,Neutral,2,Advanced
723,Yes,No,Yes,Data Analysis,Neutral,3,TextBook,7,2,6,Verbal,Enjoy Communicating,4,Advanced
724,No,No,Yes,Deep Learning,Dislike,10,TextBook,2,4,2,Written,Neutral,8,Beginner
725,No,Yes,Yes,Data Analysis,Dislike,2,Study Group,7,2,8,Verbal,Neutral,4,Beginner
726,No,No,Yes,Data Analysis,Dislike,1,TextBook,7,1,1,Verbal,Neutral,1,Intermediate
727,Yes,No,No,Data Analysis,Highly Collaborative,5,Study Group,9,4,2,Verbal,Dislike,8,Intermediate
728,No,No,No,Computer Vision,Dislike,3,TextBook,5,4,6,Verbal,Enjoy Communicating,6,Advanced
729,No,Yes,No,NLP,Highly Collaborative,6,TextBook,1,10,4,Written,Neutral,9,Intermediate
730,No,Yes,Yes,NLP,Neutral,1,Online,6,1,3,Verbal,Enjoy Communicating,10,Beginner
731,Yes,No,No,NLP,Neutral,9,Peer Discussion,7,2,2,Written,Neutral,2,Beginner
732,No,Yes,Yes,Data Analysis,Dislike,10,Study Group,1,5,10,Verbal,Neutral,7,Intermediate
733,No,No,Yes,NLP,Neutral,9,Online,2,8,9,Written,Enjoy Communicating,5,Beginner
734,Yes,Yes,Yes,Deep Learning,Highly Collaborative,4,TextBook,2,10,9,Written,Dislike,4,Professional
735,No,No,No,Data Analysis,Neutral,5,TextBook,4,3,3,Verbal,Dislike,6,Beginner
736,Yes,Yes,No,Deep Learning,Dislike,6,Study Group,3,6,6,Verbal,Neutral,4,Intermediate
737,No,Yes,Yes,Data Analysis,Dislike,4,TextBook,1,2,9,Verbal,Neutral,7,Intermediate
738,Yes,No,No,Data Analysis,Dislike,6,Study Group,5,6,1,Written,Dislike,6,Advanced
739,No,Yes,No,Data Analysis,Highly Collaborative,3,Study Group,4,1,6,Written,Neutral,5,Advanced
740,No,No,No,Computer Vision,Neutral,2,Online,3,6,2,Verbal,Dislike,5,Professional
741,Yes,No,No,Data Analysis,Independent,10,Study Group,9,1,8,Written,Dislike,8,Beginner
742,Yes,Yes,No,Computer Vision,Neutral,7,Study Group,10,6,4,Written,Neutral,1,Professional
743,No,No,No,Deep Learning,Dislike,3,Online,7,4,10,Written,Neutral,10,Intermediate
744,Yes,Yes,Yes,Data Analysis,Dislike,7,TextBook,10,10,7,Written,Neutral,2,Beginner
745,Yes,No,Yes,Computer Vision,Independent,6,Online,9,1,2,Verbal,Neutral,10,Beginner
746,No,No,Yes,NLP,Neutral,8,Study Group,1,6,5,Verbal,Dislike,10,Intermediate
747,Yes,No,No,Deep Learning,Independent,5,Study Group,6,2,10,Written,Neutral,6,Beginner
748,Yes,Yes,No,Deep Learning,Dislike,7,Peer Discussion,5,3,5,Written,Neutral,6,Intermediate
749,Yes,Yes,No,NLP,Neutral,5,Online,10,4,3,Written,Enjoy Communicating,4,Intermediate
750,No,No,Yes,NLP,Highly Collaborative,3,Online,1,6,2,Verbal,Neutral,4,Intermediate
751,No,No,Yes,Deep Learning,Independent,5,Online,4,1,3,Verbal,Enjoy Communicating,4,Advanced
752,Yes,Yes,No,Deep Learning,Highly Collaborative,6,Study Group,9,4,1,Verbal,Enjoy Communicating,10,Professional
753,Yes,Yes,No,NLP,Dislike,4,TextBook,3,10,9,Written,Dislike,10,Professional
754,Yes,No,No,Deep Learning,Independent,2,Online,9,4,1,Verbal,Neutral,9,Beginner
755,Yes,Yes,No,Computer Vision,Independent,9,Study Group,7,4,6,Written,Enjoy Communicating,1,Intermediate
756,Yes,Yes,Yes,Data Analysis,Dislike,6,Peer Discussion,6,10,9,Verbal,Dislike,4,Advanced
757,Yes,No,Yes,NLP,Dislike,3,Online,2,2,10,Written,Dislike,6,Advanced
758,Yes,Yes,Yes,Computer Vision,Independent,6,Study Group,8,6,3,Verbal,Enjoy Communicating,6,Advanced
759,No,Yes,No,Deep Learning,Dislike,8,TextBook,3,10,5,Verbal,Enjoy Communicating,1,Beginner
760,No,Yes,No,Data Analysis,Highly Collaborative,9,TextBook,1,7,5,Written,Dislike,6,Professional
761,No,Yes,Yes,NLP,Neutral,9,TextBook,7,7,10,Written,Enjoy Communicating,5,Beginner
762,No,No,Yes,Deep Learning,Dislike,9,Peer Discussion,9,9,10,Verbal,Dislike,9,Intermediate
763,No,Yes,No,Data Analysis,Dislike,4,TextBook,5,8,2,Written,Neutral,8,Intermediate
764,Yes,Yes,No,Data Analysis,Neutral,3,Online,9,10,3,Written,Dislike,1,Intermediate
765,Yes,Yes,No,NLP,Dislike,3,TextBook,7,9,3,Verbal,Enjoy Communicating,4,Advanced
766,No,Yes,Yes,NLP,Dislike,10,Peer Discussion,4,4,6,Written,Neutral,2,Intermediate
767,No,Yes,Yes,Deep Learning,Highly Collaborative,2,TextBook,9,1,5,Written,Dislike,7,Advanced
768,No,No,Yes,Deep Learning,Dislike,3,Peer Discussion,10,9,8,Written,Enjoy Communicating,1,Professional
769,No,No,Yes,Data Analysis,Dislike,9,Online,1,5,2,Written,Enjoy Communicating,3,Professional
770,No,No,No,NLP,Independent,7,Peer Discussion,6,5,6,Verbal,Enjoy Communicating,4,Beginner
