Group,Area,exploration,communication,feedback,extracurriculars,help_others,confidence,adv_courses,Colab,Exp,Resouce,hours,class
No,NLP,Yes,Dislike,Written,8,9,9,Yes,Neutral,7,Study Group,10,Advanced
Yes,NLP,Yes,Dislike,Verbal,3,9,9,Yes,Highly Collaborating,10,Online,8,Advanced
Yes,Data Analysis,Yes,Enjoy Communicating,Verbal,7,8,10,Yes,Highly Collaborating,8,Peer Discussion,8,Advanced
No,Deep Learning,No,Neutral,Verbal,1,7,9,Yes,Highly Collaborating,10,Peer Discussion,8,Advanced
Yes,Data Analysis,Yes,Neutral,Written,10,7,10,Yes,Neutral,10,Study Group,9,Advanced
Yes,Deep Learning,Yes,Dislike,Verbal,6,9,9,Yes,Highly Collaborating,8,Study Group,9,Advanced
No,Computer Vision,No,Enjoy Communicating,Written,1,10,8,Yes,Independent,8,Study Group,7,Advanced
Yes,Data Analysis,Yes,Neutral,Written,3,9,9,Yes,Highly Collaborating,9,Online,8,Advanced
Yes,Deep Learning,No,Neutral,Verbal,8,10,7,Yes,Highly Collaborating,9,TextBook,8,Advanced
No,Deep Learning,No,Enjoy Communicating,Written,3,7,9,Yes,Neutral,7,Peer Discussion,9,Advanced
Yes,NLP,No,Dislike,Verbal,1,10,9,Yes,Highly Collaborating,10,Peer Discussion,10,Advanced
No,Data Analysis,No,Dislike,Written,10,7,7,Yes,Independent,10,Study Group,8,Advanced
Yes,Computer Vision,Yes,Dislike,Verbal,4,7,8,Yes,Highly Collaborating,8,TextBook,10,Advanced
Yes,Data Analysis,Yes,Enjoy Communicating,Written,1,10,10,Yes,Independent,8,Online,8,Advanced
Yes,Deep Learning,Yes,Neutral,Written,2,10,10,Yes,Highly Collaborating,9,TextBook,9,Advanced
Yes,Computer Vision,No,Enjoy Communicating,Written,2,10,7,Yes,Highly Collaborating,8,Online,9,Advanced
No,Computer Vision,Yes,Enjoy Communicating,Verbal,9,10,7,Yes,Independent,7,Study Group,8,Advanced
No,Deep Learning,Yes,Neutral,Written,9,7,8,Yes,Independent,8,Peer Discussion,9,Advanced
No,NLP,Yes,Dislike,Written,10,10,9,Yes,Highly Collaborating,7,Study Group,9,Advanced
Yes,Deep Learning,Yes,Enjoy Communicating,Written,10,7,9,Yes,Highly Collaborating,7,Peer Discussion,8,Advanced
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,6,8,9,Yes,Highly Collaborating,8,Study Group,7,Advanced
Yes,Data Analysis,No,Dislike,Verbal,10,7,8,Yes,Independent,7,Online,8,Advanced
Yes,Computer Vision,No,Neutral,Written,9,10,7,Yes,Independent,8,TextBook,8,Advanced
No,NLP,No,Dislike,Verbal,7,9,9,Yes,Independent,7,Online,7,Advanced
No,NLP,Yes,Neutral,Written,1,7,7,Yes,Neutral,8,Online,10,Advanced
Yes,Computer Vision,No,Neutral,Written,3,10,8,Yes,Highly Collaborating,7,Online,9,Advanced
No,NLP,No,Enjoy Communicating,Verbal,5,8,7,Yes,Independent,10,TextBook,8,Advanced
No,Data Analysis,Yes,Neutral,Verbal,7,7,9,Yes,Independent,10,Peer Discussion,10,Advanced
No,NLP,No,Neutral,Written,3,8,10,Yes,Neutral,10,Online,9,Advanced
Yes,Data Analysis,No,Dislike,Verbal,5,8,9,Yes,Neutral,8,Peer Discussion,7,Advanced
No,Computer Vision,No,Enjoy Communicating,Verbal,8,10,8,Yes,Highly Collaborating,10,Online,9,Advanced
No,Deep Learning,No,Enjoy Communicating,Verbal,9,8,9,Yes,Independent,9,TextBook,10,Advanced
No,NLP,Yes,Dislike,Written,7,7,7,Yes,Neutral,7,Study Group,8,Advanced
No,NLP,Yes,Enjoy Communicating,Written,7,7,8,Yes,Highly Collaborating,8,TextBook,10,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Written,6,8,8,Yes,Highly Collaborating,8,Study Group,9,Advanced
No,Deep Learning,No,Enjoy Communicating,Verbal,5,8,8,Yes,Neutral,7,Study Group,8,Advanced
No,Computer Vision,No,Enjoy Communicating,Written,7,10,8,Yes,Neutral,9,Online,9,Advanced
No,NLP,Yes,Enjoy Communicating,Verbal,9,7,8,Yes,Independent,8,TextBook,8,Advanced
Yes,NLP,Yes,Dislike,Verbal,5,10,8,Yes,Neutral,10,Study Group,10,Advanced
Yes,Computer Vision,Yes,Enjoy Communicating,Written,7,7,9,Yes,Highly Collaborating,9,TextBook,10,Advanced
No,NLP,No,Dislike,Written,1,7,8,Yes,Independent,9,Online,7,Advanced
Yes,Deep Learning,No,Dislike,Verbal,8,7,9,Yes,Independent,10,Peer Discussion,9,Advanced
No,NLP,No,Neutral,Written,8,7,8,Yes,Highly Collaborating,7,Peer Discussion,9,Advanced
Yes,NLP,Yes,Dislike,Written,5,8,8,Yes,Neutral,8,Online,9,Advanced
Yes,Data Analysis,No,Dislike,Written,5,10,8,Yes,Highly Collaborating,8,Peer Discussion,9,Advanced
Yes,Deep Learning,No,Neutral,Written,6,8,9,Yes,Neutral,9,Peer Discussion,8,Advanced
Yes,Data Analysis,No,Neutral,Verbal,3,8,8,Yes,Independent,7,Study Group,8,Advanced
No,Computer Vision,No,Dislike,Written,2,8,10,Yes,Highly Collaborating,9,Online,8,Advanced
No,Data Analysis,Yes,Neutral,Verbal,7,8,10,Yes,Neutral,8,Online,7,Advanced
No,NLP,Yes,Neutral,Verbal,10,8,8,Yes,Independent,7,Online,10,Advanced
Yes,Computer Vision,Yes,Neutral,Written,6,8,8,Yes,Neutral,7,Online,9,Advanced
Yes,Data Analysis,No,Enjoy Communicating,Written,1,7,9,Yes,Neutral,10,Online,8,Advanced
No,Data Analysis,No,Neutral,Verbal,10,7,7,Yes,Independent,10,Online,10,Advanced
No,Computer Vision,No,Neutral,Verbal,7,9,8,Yes,Highly Collaborating,10,Online,10,Advanced
No,Data Analysis,Yes,Dislike,Verbal,9,10,10,Yes,Highly Collaborating,8,Peer Discussion,7,Advanced
No,Computer Vision,No,Dislike,Verbal,2,8,7,Yes,Highly Collaborating,8,Study Group,8,Advanced
No,NLP,Yes,Neutral,Written,10,9,9,Yes,Highly Collaborating,8,Online,10,Advanced
No,NLP,Yes,Neutral,Verbal,8,10,7,Yes,Independent,9,Peer Discussion,7,Advanced
Yes,Data Analysis,Yes,Dislike,Written,6,10,8,Yes,Highly Collaborating,7,TextBook,9,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Verbal,9,7,8,Yes,Neutral,8,Online,7,Advanced
No,Computer Vision,Yes,Dislike,Written,5,9,8,Yes,Highly Collaborating,7,Study Group,7,Advanced
Yes,Deep Learning,No,Neutral,Written,10,8,10,Yes,Neutral,9,Peer Discussion,7,Advanced
No,Computer Vision,No,Neutral,Written,5,10,9,Yes,Highly Collaborating,8,Study Group,10,Advanced
No,Deep Learning,No,Neutral,Written,1,10,10,Yes,Neutral,7,TextBook,10,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Written,1,9,10,Yes,Highly Collaborating,9,TextBook,10,Advanced
Yes,Data Analysis,No,Dislike,Verbal,10,9,10,Yes,Neutral,7,Peer Discussion,9,Advanced
No,Computer Vision,Yes,Enjoy Communicating,Written,9,7,7,Yes,Independent,9,Peer Discussion,9,Advanced
No,Computer Vision,No,Neutral,Verbal,4,7,9,Yes,Highly Collaborating,10,Study Group,7,Advanced
No,Data Analysis,No,Neutral,Written,4,8,8,Yes,Independent,10,Peer Discussion,7,Advanced
Yes,Deep Learning,Yes,Enjoy Communicating,Verbal,6,10,10,Yes,Independent,10,Study Group,10,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Verbal,3,8,10,Yes,Independent,10,Study Group,7,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Written,10,10,7,Yes,Independent,8,TextBook,7,Advanced
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,5,9,10,Yes,Highly Collaborating,7,Peer Discussion,10,Advanced
Yes,Data Analysis,Yes,Dislike,Verbal,10,8,10,Yes,Highly Collaborating,9,Study Group,10,Advanced
No,Data Analysis,Yes,Dislike,Written,2,7,8,Yes,Independent,8,Peer Discussion,10,Advanced
No,Computer Vision,Yes,Dislike,Written,1,9,9,Yes,Independent,9,TextBook,8,Advanced
Yes,Data Analysis,Yes,Neutral,Verbal,8,10,7,Yes,Highly Collaborating,7,Peer Discussion,7,Advanced
Yes,Computer Vision,No,Enjoy Communicating,Written,9,10,7,Yes,Independent,10,Peer Discussion,10,Advanced
Yes,Data Analysis,Yes,Dislike,Verbal,1,10,7,Yes,Highly Collaborating,7,Study Group,8,Advanced
Yes,NLP,No,Enjoy Communicating,Written,6,9,9,Yes,Highly Collaborating,9,TextBook,10,Advanced
Yes,Data Analysis,Yes,Enjoy Communicating,Written,10,8,8,Yes,Neutral,8,Online,9,Advanced
No,Data Analysis,Yes,Dislike,Written,4,7,7,Yes,Neutral,9,Peer Discussion,10,Advanced
Yes,Data Analysis,Yes,Neutral,Verbal,6,10,10,Yes,Independent,7,Peer Discussion,7,Advanced
Yes,NLP,No,Dislike,Written,4,8,9,Yes,Independent,7,Study Group,10,Advanced
No,Data Analysis,No,Dislike,Verbal,2,7,9,Yes,Independent,7,Online,9,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Verbal,8,9,8,Yes,Independent,7,TextBook,8,Advanced
No,Data Analysis,Yes,Dislike,Verbal,10,7,9,Yes,Neutral,10,Peer Discussion,8,Advanced
No,NLP,Yes,Dislike,Written,8,10,9,Yes,Independent,9,Online,7,Advanced
No,Deep Learning,No,Enjoy Communicating,Written,4,9,10,Yes,Highly Collaborating,9,Peer Discussion,9,Advanced
Yes,Data Analysis,Yes,Enjoy Communicating,Written,4,10,8,Yes,Independent,9,TextBook,8,Advanced
Yes,Data Analysis,Yes,Enjoy Communicating,Written,6,7,9,Yes,Independent,7,Study Group,7,Advanced
Yes,Computer Vision,No,Dislike,Verbal,9,7,7,Yes,Neutral,7,TextBook,10,Advanced
No,Data Analysis,No,Neutral,Written,10,8,7,Yes,Neutral,7,TextBook,9,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Written,9,7,7,Yes,Neutral,10,Online,10,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Verbal,10,7,9,Yes,Neutral,7,Peer Discussion,7,Advanced
No,NLP,Yes,Enjoy Communicating,Written,3,7,8,Yes,Independent,8,TextBook,10,Advanced
Yes,Data Analysis,Yes,Dislike,Verbal,9,7,10,Yes,Independent,10,Study Group,7,Advanced
No,Data Analysis,No,Enjoy Communicating,Written,7,7,7,Yes,Neutral,10,Peer Discussion,8,Advanced
No,Computer Vision,Yes,Dislike,Written,1,7,7,Yes,Highly Collaborating,8,Online,7,Advanced
Yes,Deep Learning,Yes,Neutral,Written,8,9,7,Yes,Neutral,9,Study Group,8,Advanced
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,5,8,7,Yes,Independent,7,TextBook,7,Advanced
Yes,Computer Vision,No,Dislike,Verbal,6,10,8,Yes,Neutral,10,Peer Discussion,10,Advanced
No,NLP,Yes,Neutral,Written,6,8,9,Yes,Neutral,7,Peer Discussion,9,Advanced
Yes,Computer Vision,No,Neutral,Verbal,7,10,10,Yes,Highly Collaborating,7,Peer Discussion,9,Advanced
Yes,Data Analysis,No,Dislike,Verbal,5,9,9,Yes,Neutral,7,Online,7,Advanced
Yes,Computer Vision,Yes,Dislike,Verbal,8,10,9,Yes,Independent,9,Study Group,8,Advanced
Yes,Deep Learning,Yes,Neutral,Verbal,7,7,7,Yes,Independent,7,TextBook,8,Advanced
Yes,NLP,No,Dislike,Verbal,6,10,8,Yes,Neutral,7,Peer Discussion,8,Advanced
Yes,Computer Vision,No,Dislike,Written,10,8,9,Yes,Neutral,9,Study Group,9,Advanced
Yes,Data Analysis,Yes,Neutral,Written,10,8,7,Yes,Highly Collaborating,8,Study Group,10,Advanced
Yes,Deep Learning,Yes,Enjoy Communicating,Written,4,8,10,Yes,Neutral,9,Online,9,Advanced
Yes,NLP,Yes,Enjoy Communicating,Written,10,7,9,Yes,Independent,7,Online,9,Advanced
Yes,Data Analysis,No,Dislike,Verbal,2,7,7,Yes,Highly Collaborating,7,Study Group,10,Advanced
Yes,NLP,No,Enjoy Communicating,Written,3,8,7,Yes,Neutral,10,Peer Discussion,10,Advanced
Yes,NLP,No,Enjoy Communicating,Verbal,3,9,8,Yes,Independent,8,Peer Discussion,9,Advanced
Yes,Computer Vision,No,Neutral,Verbal,4,10,8,Yes,Independent,9,Online,8,Advanced
Yes,Computer Vision,No,Dislike,Written,9,8,7,Yes,Neutral,8,Study Group,8,Advanced
No,Deep Learning,No,Neutral,Verbal,3,8,7,Yes,Neutral,10,Peer Discussion,10,Advanced
No,Data Analysis,Yes,Enjoy Communicating,Verbal,4,10,8,Yes,Neutral,7,Study Group,10,Advanced
Yes,Computer Vision,Yes,Neutral,Written,9,7,9,Yes,Neutral,7,TextBook,9,Advanced
Yes,Computer Vision,No,Enjoy Communicating,Verbal,6,9,10,Yes,Highly Collaborating,8,Study Group,10,Advanced
No,Computer Vision,No,Dislike,Written,8,8,10,Yes,Highly Collaborating,10,Online,9,Advanced
No,Data Analysis,Yes,Neutral,Written,8,8,8,Yes,Neutral,7,Peer Discussion,8,Advanced
No,Deep Learning,No,Dislike,Written,4,10,8,Yes,Neutral,10,TextBook,7,Advanced
No,NLP,No,Neutral,Written,8,10,10,Yes,Neutral,7,TextBook,10,Advanced
Yes,NLP,Yes,Enjoy Communicating,Verbal,7,10,8,Yes,Independent,10,Study Group,10,Advanced
Yes,Data Analysis,Yes,Dislike,Verbal,8,7,7,Yes,Independent,9,Peer Discussion,8,Advanced
No,Data Analysis,Yes,Dislike,Verbal,4,9,9,Yes,Highly Collaborating,7,TextBook,7,Advanced
Yes,NLP,Yes,Neutral,Written,10,10,10,Yes,Neutral,7,Online,10,Advanced
No,Computer Vision,Yes,Enjoy Communicating,Verbal,4,7,7,Yes,Neutral,9,Online,7,Advanced
Yes,Deep Learning,Yes,Dislike,Written,8,9,7,Yes,Highly Collaborating,9,Peer Discussion,9,Advanced
Yes,NLP,No,Neutral,Written,7,10,7,Yes,Highly Collaborating,10,Peer Discussion,9,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Verbal,8,10,8,Yes,Neutral,10,Study Group,10,Advanced
No,NLP,Yes,Enjoy Communicating,Verbal,1,9,8,Yes,Neutral,10,Study Group,9,Advanced
No,Deep Learning,No,Neutral,Written,3,9,7,Yes,Neutral,8,Study Group,7,Advanced
Yes,Deep Learning,No,Neutral,Written,6,7,8,Yes,Highly Collaborating,10,Study Group,7,Advanced
No,NLP,Yes,Enjoy Communicating,Written,2,7,8,Yes,Highly Collaborating,8,Peer Discussion,9,Advanced
No,Deep Learning,No,Neutral,Verbal,10,9,7,Yes,Neutral,7,Peer Discussion,8,Advanced
Yes,Deep Learning,No,Neutral,Verbal,4,8,9,Yes,Independent,10,Study Group,7,Advanced
Yes,NLP,No,Enjoy Communicating,Verbal,9,9,9,Yes,Neutral,9,Online,10,Advanced
No,Deep Learning,Yes,Neutral,Written,1,7,10,Yes,Highly Collaborating,9,Peer Discussion,9,Advanced
No,Computer Vision,Yes,Neutral,Written,1,8,8,Yes,Highly Collaborating,10,Study Group,9,Advanced
Yes,NLP,No,Enjoy Communicating,Written,3,10,7,Yes,Highly Collaborating,10,Online,10,Advanced
No,Deep Learning,Yes,Neutral,Verbal,1,7,7,Yes,Independent,7,Peer Discussion,8,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Written,9,10,10,Yes,Neutral,9,Online,8,Advanced
Yes,NLP,No,Dislike,Written,3,7,10,Yes,Independent,10,TextBook,9,Advanced
No,Deep Learning,Yes,Dislike,Written,6,8,10,Yes,Neutral,10,Study Group,9,Advanced
Yes,Computer Vision,Yes,Enjoy Communicating,Written,7,7,7,Yes,Independent,7,Study Group,10,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Verbal,4,8,8,Yes,Independent,8,Peer Discussion,8,Advanced
Yes,Data Analysis,Yes,Neutral,Verbal,9,8,8,Yes,Independent,9,Peer Discussion,8,Advanced
No,Computer Vision,No,Neutral,Verbal,7,10,8,Yes,Highly Collaborating,9,Study Group,8,Advanced
No,Data Analysis,No,Neutral,Written,7,8,10,Yes,Neutral,7,Peer Discussion,7,Advanced
No,NLP,No,Dislike,Verbal,9,7,10,Yes,Highly Collaborating,9,Online,9,Advanced
No,NLP,No,Dislike,Written,1,10,9,Yes,Independent,7,Online,8,Advanced
Yes,NLP,Yes,Enjoy Communicating,Written,7,10,10,Yes,Highly Collaborating,9,Study Group,10,Advanced
Yes,Computer Vision,Yes,Neutral,Written,5,10,10,Yes,Highly Collaborating,8,Peer Discussion,9,Advanced
No,Deep Learning,Yes,Dislike,Verbal,7,7,10,Yes,Neutral,9,Peer Discussion,9,Advanced
Yes,Computer Vision,Yes,Neutral,Verbal,3,9,8,Yes,Independent,10,Online,10,Advanced
Yes,NLP,No,Neutral,Written,10,10,9,Yes,Neutral,7,Online,9,Advanced
Yes,Data Analysis,No,Neutral,Verbal,10,7,9,Yes,Independent,9,Online,7,Advanced
No,Computer Vision,No,Enjoy Communicating,Verbal,2,10,10,Yes,Highly Collaborating,10,Study Group,7,Advanced
Yes,NLP,Yes,Enjoy Communicating,Written,9,9,9,Yes,Independent,9,TextBook,9,Advanced
No,Computer Vision,Yes,Dislike,Verbal,7,8,10,Yes,Highly Collaborating,7,Peer Discussion,9,Advanced
Yes,NLP,No,Neutral,Written,10,7,10,Yes,Independent,7,Study Group,10,Advanced
No,Data Analysis,Yes,Dislike,Verbal,8,7,9,Yes,Highly Collaborating,9,Study Group,10,Advanced
No,Deep Learning,Yes,Dislike,Verbal,3,9,7,Yes,Independent,10,Online,10,Advanced
Yes,NLP,No,Neutral,Written,1,9,10,Yes,Neutral,8,Online,8,Advanced
Yes,Computer Vision,No,Dislike,Written,2,7,9,Yes,Neutral,7,Online,8,Advanced
Yes,Deep Learning,No,Dislike,Written,9,7,10,Yes,Independent,7,TextBook,8,Advanced
Yes,NLP,Yes,Dislike,Verbal,4,10,7,Yes,Neutral,8,TextBook,7,Advanced
Yes,NLP,No,Dislike,Verbal,9,7,8,Yes,Highly Collaborating,7,Peer Discussion,9,Advanced
No,NLP,Yes,Neutral,Written,5,7,8,Yes,Independent,9,TextBook,9,Advanced
No,Data Analysis,No,Neutral,Verbal,4,8,7,Yes,Independent,7,TextBook,9,Advanced
Yes,NLP,Yes,Neutral,Verbal,7,9,9,Yes,Neutral,7,Peer Discussion,10,Advanced
No,Data Analysis,No,Neutral,Written,5,8,7,Yes,Neutral,9,Peer Discussion,10,Advanced
Yes,NLP,Yes,Dislike,Written,7,7,7,Yes,Independent,7,Study Group,9,Advanced
No,Data Analysis,No,Enjoy Communicating,Written,8,8,9,Yes,Independent,8,Peer Discussion,9,Advanced
No,NLP,Yes,Dislike,Written,2,7,9,Yes,Independent,7,Study Group,8,Advanced
Yes,Computer Vision,Yes,Neutral,Written,4,8,7,Yes,Neutral,7,TextBook,10,Advanced
Yes,NLP,Yes,Dislike,Verbal,3,10,10,Yes,Neutral,10,Study Group,8,Advanced
No,Data Analysis,Yes,Dislike,Written,3,10,10,Yes,Neutral,10,Online,8,Advanced
Yes,NLP,No,Dislike,Written,3,9,8,Yes,Neutral,10,Online,9,Advanced
No,Deep Learning,Yes,Neutral,Written,2,10,9,Yes,Independent,9,Peer Discussion,8,Advanced
No,Computer Vision,No,Neutral,Verbal,8,9,10,Yes,Highly Collaborating,10,Online,10,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Written,1,8,9,Yes,Independent,8,Online,10,Advanced
Yes,NLP,Yes,Dislike,Written,2,10,8,Yes,Highly Collaborating,7,Study Group,10,Advanced
No,Computer Vision,Yes,Neutral,Written,3,10,9,Yes,Highly Collaborating,9,TextBook,8,Advanced
No,Data Analysis,No,Enjoy Communicating,Written,6,9,10,Yes,Independent,8,Online,9,Advanced
Yes,Computer Vision,Yes,Neutral,Verbal,8,7,10,Yes,Neutral,8,Study Group,7,Advanced
Yes,Data Analysis,No,Dislike,Written,9,7,8,Yes,Neutral,10,Peer Discussion,8,Advanced
No,Computer Vision,No,Enjoy Communicating,Written,9,10,9,Yes,Neutral,9,Online,9,Advanced
No,Computer Vision,No,Neutral,Verbal,1,9,7,Yes,Independent,8,Study Group,8,Advanced
Yes,NLP,Yes,Dislike,Written,9,8,8,Yes,Independent,9,Online,8,Advanced
Yes,Data Analysis,No,Enjoy Communicating,Written,7,9,8,Yes,Independent,8,Online,10,Advanced
Yes,NLP,No,Neutral,Verbal,3,9,10,Yes,Neutral,10,Online,7,Advanced
Yes,Deep Learning,Yes,Dislike,Written,10,8,10,Yes,Independent,10,Online,10,Advanced
No,Computer Vision,Yes,Enjoy Communicating,Verbal,5,7,10,Yes,Highly Collaborating,7,Peer Discussion,9,Advanced
Yes,Deep Learning,No,Enjoy Communicating,Verbal,6,9,9,Yes,Independent,10,TextBook,9,Advanced
No,NLP,No,Neutral,Written,4,9,9,Yes,Neutral,7,TextBook,10,Advanced
Yes,NLP,Yes,Dislike,Written,6,9,10,Yes,Neutral,10,TextBook,7,Advanced
No,Data Analysis,No,Dislike,Written,9,10,10,Yes,Neutral,10,Online,7,Advanced
No,NLP,No,Enjoy Communicating,Written,5,8,8,Yes,Independent,7,Online,8,Advanced
No,NLP,No,Neutral,Written,10,9,9,Yes,Neutral,7,Study Group,8,Advanced
No,Deep Learning,Yes,Enjoy Communicating,Written,6,9,10,Yes,Independent,10,Online,7,Advanced
No,Data Analysis,Yes,Neutral,Written,10,10,10,Yes,Neutral,10,Online,8,Advanced
No,NLP,No,Dislike,Verbal,3,8,8,Yes,Neutral,7,Online,7,Advanced
No,Computer Vision,No,Dislike,Verbal,4,8,7,Yes,Highly Collaborating,9,Peer Discussion,8,Advanced
Yes,Computer Vision,No,Neutral,Written,6,9,7,Yes,Neutral,9,Study Group,7,Advanced
No,NLP,Yes,Enjoy Communicating,Written,1,10,7,Yes,Highly Collaborating,10,Peer Discussion,7,Advanced
No,Deep Learning,No,Neutral,Verbal,3,9,8,Yes,Highly Collaborating,7,Online,7,Advanced
Yes,Data Analysis,Yes,Dislike,Written,1,7,7,Yes,Highly Collaborating,10,TextBook,9,Advanced
No,Data Analysis,Yes,Enjoy Communicating,Written,1,10,7,Yes,Independent,9,Study Group,10,Advanced
No,Computer Vision,Yes,Dislike,Written,1,7,8,Yes,Neutral,7,Study Group,8,Advanced
Yes,Computer Vision,No,Neutral,Written,9,8,7,Yes,Neutral,7,Peer Discussion,7,Advanced
No,NLP,Yes,Neutral,Written,5,10,8,Yes,Neutral,10,TextBook,7,Advanced
Yes,NLP,No,Neutral,Verbal,3,7,10,Yes,Highly Collaborating,8,Peer Discussion,9,Advanced
Yes,Deep Learning,Yes,Neutral,Written,4,8,9,Yes,Neutral,8,Study Group,9,Advanced
